id,name,slug,oldSku,newSku,no,how,conf,agree,suggest,category,capDb,capNas,capWarn,nas,imgSlug
"3fabd2c2-7f60-4f7e-99df-e8394cc8e257","USB เพลงฮิต MP3 ฟังเพลงเพราะในรถยนต์ เสียบแล้วฟังได้ทันที","usb-mp3-hit-nai-rot","BT-ST-02-056","BT-ST-02-056","56","รูป","รูปตรง 9 ใบ · d4","ตรงกัน","","เพลงสตริง","2GB","","","","usb-mp3-hit-nai-rot"
"2d1ca54c-94ce-4354-9324-31aca480eb32","USB แฟลชไดรฟ์ mp3 - เพลงบทสวดมนต์ทำนองดนตรี รวมคาถามงคล ฟังเสริมสิริมงคล","usb-mp3-suat-mon","BT-DM-M5-041","BT-DM-M5-041","41","รูป","รูปตรง 8 ใบ · d1","ตรงกัน","","ธรรมะ","512MB","512MB","","041. บทสวดมนต์ รวมเพลงคาถามงคล [512MB]","usb-mp3-suat-mon"
"edc91b07-dd6a-42a1-9577-6b33017bc755","USB แฟลชไดรฟ์ MP3 เพลงเพื่อชีวิต คาราบาว ครบทุกอัลบั้ม","usb-mp3-phuea-chiwit-carabao-4gb-325-songs","BT-PC-04-040","BT-PC-04-040","40","รูป","รูปตรง 8 ใบ · d3","ชื่อชี้ 32","","เพื่อชีวิต","4GB","4GB","","040. คาราบาว [4GB]","usb-mp3-carabao-4gb"
"f6ad40b5-108c-4ac3-bc9d-4f288c6519bb","USB แฟลชไดรฟ์ MP3 รวมเพลงลูกทุ่ง ก็อต จักรพรรณ์","usb-mp3-got-jakrapat","BT-LT-04-025","BT-LT-04-025","25","รูป","รูปตรง 9 ใบ · d2","ตรงกัน","","ลูกทุ่ง","4GB","4GB","","025. ก็อต จักรพรรณ์ [4GB]","usb-mp3-got-jakrapat"
"a25b0e62-8eb5-4bf0-82bc-b7cbe8f07e0a","USB แฟลชไดรฟ์ MP3 รวมเพลงสันติ ดวงสว่าง เพลงอมตะ","usb-mp3-santi-duangsaw","BT-LT-04-028","BT-LT-04-028","28","รูป","รูปตรง 8 ใบ · d0","ตรงกัน","","ลูกทุ่ง","4GB","4GB","","028. สันติ ดวงสว่าง [4GB]","usb-mp3-santi-duangsaw"
"d69e5509-d38a-4d64-ade4-eded6cb45416","USB แฟลชไดรฟ์ MP3 รวมเพลงลูกกรุง เพลงอมตะ ฟังในรถ","usb-mp3-luk-krung-4gb","BT-LK-04-024","BT-LK-04-024","24","รูป","รูปตรง 7 ใบ · d4","ชื่อชี้ 3","","ลูกกรุง","4GB","4GB","","024. ลูกกรุงอมตะ [4GB]","usb-mp3-luk-krung-4gb"
"09768fd9-7498-40b0-b98b-dc537ca0f449","USB แฟลชไดรฟ์ - MP3 รวมเพลงร็อคในตำนาน - เสียงเพลงแห่งความทรงจำ","usb-mp3-rock-legend","BT-ST-01-008","BT-ST-01-008","8","รูป","รูปตรง 9 ใบ · d2","ตรงกัน","","เพลงสตริง","1GB","1GB","","008. ร็อคในตำนาน [1GB]","usb-mp3-rock-legend"
"9492b2ce-64ea-47ec-9ff0-52fc638f11d2","USB แฟลชไดรฟ์ MP3 รวมเพลงพงษ์พัฒน์ เสียงร็อคที่อยู่เหนือกาลเวลา","usb-mp3-pong-pat","BT-ST-01-016","BT-ST-01-016","16","รูป","รูปตรง 9 ใบ · d3","ตรงกัน","","เพลงสตริง","1GB","1GB","","016. พงษ์พัฒน์ [1GB]","usb-mp3-pong-pat"
"652cf205-9b19-461d-8807-e3ce1dc6a954","USB แฟลชไดรฟ์ MP3 รวมเพลงร็อค ดังวันเก่า-ฟังเพลิน เสียบแล้วเล่นได้เลย","usb-mp3-rock-wan-kao","BT-ST-01-058","BT-ST-01-058","58","รูป","รูปตรง 8 ใบ · d3","ตรงกัน","","เพลงสตริง","1GB","","","","usb-mp3-rock-wan-kao"
"8fcbf8b0-da4f-4dab-840e-c72a9a350471","USB แฟลชไดรฟ์ - MP3 รวมเพลงยุค 90 เก่าคลาสสิก","usb-mp3-90s-classic","BT-ST-01-004","BT-ST-01-004","4","รูป","รูปตรง 8 ใบ · d1","ตรงกัน","","เพลงสตริง","1GB","1GB","","004. เพลงเก่าคลาสสิก 90 [1GB]","usb-mp3-90s-classic"
